id,language,cluster,intent,phrase
1,ar,research,شرح مبسط,أبحاث جامعية شرح مبسط
2,ar,research,دليل عملي,أبحاث جامعية دليل عملي
3,ar,research,خطوات التنفيذ,أبحاث جامعية خطوات التنفيذ
4,ar,research,نموذج قابل للتعديل,أبحاث جامعية نموذج قابل للتعديل
5,ar,research,مثال تطبيقي,أبحاث جامعية مثال تطبيقي
6,ar,research,خطة عمل,أبحاث جامعية خطة عمل
7,ar,research,نصائح للطلاب,أبحاث جامعية نصائح للطلاب
8,ar,research,أخطاء شائعة,أبحاث جامعية أخطاء شائعة
9,ar,research,معايير الجودة,أبحاث جامعية معايير الجودة
10,ar,research,طريقة الإعداد,أبحاث جامعية طريقة الإعداد
11,ar,research,كيفية الكتابة,أبحاث جامعية كيفية الكتابة
12,ar,research,كيفية التنسيق,أبحاث جامعية كيفية التنسيق
13,ar,research,كيفية التوثيق,أبحاث جامعية كيفية التوثيق
14,ar,research,كيفية المراجعة,أبحاث جامعية كيفية المراجعة
15,ar,research,كيفية التحليل,أبحاث جامعية كيفية التحليل
16,ar,research,كيفية العرض,أبحاث جامعية كيفية العرض
17,ar,research,قبل التسليم,أبحاث جامعية قبل التسليم
18,ar,research,لطلاب البكالوريوس,أبحاث جامعية لطلاب البكالوريوس
19,ar,research,لطلاب الماجستير,أبحاث جامعية لطلاب الماجستير
20,ar,research,لطلاب الدكتوراه,أبحاث جامعية لطلاب الدكتوراه
21,ar,research,باللغة العربية,أبحاث جامعية باللغة العربية
22,ar,research,باللغة الإنجليزية,أبحاث جامعية باللغة الإنجليزية
23,ar,research,عربي وإنجليزي,أبحاث جامعية عربي وإنجليزي
24,ar,research,في الجامعات الإماراتية,أبحاث جامعية في الجامعات الإماراتية
25,ar,research,في دبي,أبحاث جامعية في دبي
26,ar,research,في أبوظبي,أبحاث جامعية في أبوظبي
27,ar,research,في الشارقة,أبحاث جامعية في الشارقة
28,ar,research,للجامعات الخاصة,أبحاث جامعية للجامعات الخاصة
29,ar,research,للجامعات الحكومية,أبحاث جامعية للجامعات الحكومية
30,ar,research,عن بُعد,أبحاث جامعية عن بُعد
31,ar,research,خدمة احترافية,أبحاث جامعية خدمة احترافية
32,ar,research,مساعدة أكاديمية,أبحاث جامعية مساعدة أكاديمية
33,ar,research,استشارة بحثية,أبحاث جامعية استشارة بحثية
34,ar,research,مراجعة أكاديمية,أبحاث جامعية مراجعة أكاديمية
35,ar,research,تدقيق علمي,أبحاث جامعية تدقيق علمي
36,ar,research,تنسيق APA,أبحاث جامعية تنسيق APA
37,ar,research,تنسيق MLA,أبحاث جامعية تنسيق MLA
38,ar,research,تنسيق Chicago,أبحاث جامعية تنسيق Chicago
39,ar,research,توثيق المصادر,أبحاث جامعية توثيق المصادر
40,ar,research,تحسين الصياغة,أبحاث جامعية تحسين الصياغة
41,ar,research,تحسين المنهجية,أبحاث جامعية تحسين المنهجية
42,ar,research,قراءة وتحليل البيانات,أبحاث جامعية قراءة وتحليل البيانات
43,ar,research,تصميم أداة البحث,أبحاث جامعية تصميم أداة البحث
44,ar,research,مراجعة الاستبيان,أبحاث جامعية مراجعة الاستبيان
45,ar,research,تفسير النتائج,أبحاث جامعية تفسير النتائج
46,ar,research,إعداد الجداول,أبحاث جامعية إعداد الجداول
47,ar,research,إعداد الرسوم البيانية,أبحاث جامعية إعداد الرسوم البيانية
48,ar,research,تجهيز المناقشة,أبحاث جامعية تجهيز المناقشة
49,ar,research,مع الحفاظ على الأمانة العلمية,أبحاث جامعية مع الحفاظ على الأمانة العلمية
50,ar,research,وفق متطلبات الجامعة,أبحاث جامعية وفق متطلبات الجامعة
51,en,research,simple explanation,academic research simple explanation
52,en,research,practical guide,academic research practical guide
53,en,research,step-by-step process,academic research step-by-step process
54,en,research,editable template,academic research editable template
55,en,research,worked example,academic research worked example
56,en,research,action plan,academic research action plan
57,en,research,student tips,academic research student tips
58,en,research,common mistakes,academic research common mistakes
59,en,research,quality standards,academic research quality standards
60,en,research,how to prepare,academic research how to prepare
61,en,research,how to write,academic research how to write
62,en,research,how to format,academic research how to format
63,en,research,how to cite sources,academic research how to cite sources
64,en,research,how to proofread,academic research how to proofread
65,en,research,how to analyze,academic research how to analyze
66,en,research,how to present,academic research how to present
67,en,research,before submission,academic research before submission
68,en,research,for undergraduate students,academic research for undergraduate students
69,en,research,for master's students,academic research for master's students
